Name,CustomerID,Age,Marital Status,Gender,Ethnicity,Education
Clark Ismael,0020-INWCKC,61,Married,Male,African American,Master
Verlyn,0020-INWCKCH,76,Unmarried,Female,Caucasian,Master
Junia,0020-INWCKH,79,Unmarried,Male,Asian,Bachelor
Ballard,0020-INWCKW,51,Married,Female,Caucasian,Senior Secondary
Pharr,0020-INWCKX,79,Unmarried,Female,African American,Secondary
Caroljean,0020-INWCKZ,42,Married,Male,Caucasian,Elementary
Jesica Rio,0020-JDNXP,43,Unmarried,Male,Caucasian,Senior Secondary
Logan,0020-JDNXPA,47,Unmarried,Male,African American,Bachelor
Wanetta Israel,0020-JDNXPC,86,Unmarried,Female,African American,Bachelor
Vernette,0020-JDNXPCH,36,Married,Female,African American,Master
Junie,0020-JDNXPH,80,Married,Male,Caucasian,Senior High School
Brent,0020-JDNXPW,71,Unmarried,Male,Asian,Master
Fleischer,0020-JDNXPX,40,Married,Female,Caucasian,Master
Carolyn,0020-JDNXPZ,25,Unmarried,Male,Caucasian,Senior Secondary
Mozella Raglin,0021-IKXGC,86,Unmarried,Female,Asian,Master
Jayden,0021-IKXGCA,60,Unmarried,Female,Caucasian,Elementary
Maricela Iva,0021-IKXGCC,57,Married,Male,Caucasian,Master
Versa,0021-IKXGCCH,75,Married,Female,Asian,Bachelor
Junina,0021-IKXGCH,51,Married,Female,Asian,Master
Celestino,0021-IKXGCW,74,Unmarried,Female,Caucasian,Doctorate
Goertz,0021-IKXGCX,84,Married,Male,Caucasian,Senior Secondary
Carolyne,0021-IKXGCZ,70,Unmarried,Male,Asian,Senior High School
Cleopatra Voltz,0022-TCJCI,59,Married,Female,African American,Doctorate
Matthew,0022-TCJCIA,29,Married,Female,Caucasian,Bachelor
Lynsey Ivan,0022-TCJCIC,59,Unmarried,Male,Asian,Senior Secondary
Willamae,0022-TCJCICH,75,Married,Male,Caucasian,Master
Justin,0022-TCJCIH,50,Married,Male,African American,Secondary
Chalmers,0022-TCJCIW,61,Married,Male,Asian,Master
Eisele,0022-TCJCIX,66,Unmarried,Female,Caucasian,Doctorate
Carolynn,0022-TCJCIZ,47,Married,Male,Caucasian,Secondary
Keri Amy,0023-HGHWL,62,Unmarried,Male,Caucasian,Secondary
Lucas,0023-HGHWLA,37,Unmarried,Male,Caucasian,Bachelor
Lovetta Ivy,0023-HGHWLC,37,Married,Female,Caucasian,Bachelor
Winfred,0023-HGHWLCH,47,Unmarried,Female,Asian,Elementary
Justina,0023-HGHWLH,67,Married,Female,Caucasian,Doctorate
Darell,0023-HGHWLW,65,Unmarried,Male,African American,Master
Viands,0023-HGHWLX,55,Married,Female,Caucasian,Secondary
Caron,0023-HGHWLZ,81,Unmarried,Female,African American,Elementary
Ivelisse Moats,0023-UYUPN,55,Unmarried,Female,Caucasian,Elementary
David,0023-UYUPNA,69,Married,Male,Asian,Master
Gracia Jace,0023-UYUPNC,67,Unmarried,Female,Asian,Master
Yoshiye,0023-UYUPNCH,59,Unmarried,Male,Caucasian,Master
Justine,0023-UYUPNH,37,Unmarried,Male,Caucasian,Bachelor
Delwin,0023-UYUPNW,42,Unmarried,Male,Asian,Master
Schuetz,0023-UYUPNX,61,Unmarried,Female,Caucasian,Bachelor
Carree,0023-UYUPNZ,64,Married,Male,Caucasian,Doctorate
Josefina Hullinger,0023-XUOPT,59,Married,Male,Caucasian,Master
Jackson,0023-XUOPTA,55,Unmarried,Female,African American,Senior Secondary
Loma Jack,0023-XUOPTC,85,Unmarried,Male,Caucasian,Master
Zeola,0023-XUOPTCH,42,Unmarried,Female,African American,Secondary
Jyoti,0023-XUOPTH,48,Unmarried,Male,African American,High School
Derwood,0023-XUOPTW,41,Unmarried,Female,Caucasian,Master
Strother,0023-XUOPTX,26,Unmarried,Male,African American,Master
Carri,0023-XUOPTZ,65,Unmarried,Male,Caucasian,Elementary
Misha Lasso,0027-KWYKW,46,Unmarried,Female,African American,Senior Secondary
Joseph,0027-KWYKWA,39,Married,Female,Caucasian,Bachelor
Adelle Jackie,0027-KWYKWC,69,Married,Female,Asian,Master
Aileene,0027-KWYKWCH,65,Married,Female,African American,Senior Secondary
Kaari,0027-KWYKWH,47,Married,Female,African American,Secondary
Devere,0027-KWYKWW,30,Unmarried,Male,Caucasian,Elementary
Calton,0027-KWYKWX,39,Married,Female,Caucasian,Senior Secondary
Carrie,0027-KWYKWZ,68,Married,Male,Caucasian,Senior Secondary
Janise Norling,0030-FNXPP,74,Married,Male,Asian,Secondary
Anthony,0030-FNXPPA,65,Unmarried,Male,Caucasian,Doctorate
Clifford Jackie,0030-FNXPPC,56,Unmarried,Male,Asian,Doctorate
Aldene,0030-FNXPPCH,62,Married,Male,Caucasian,Senior High School
Kacey,0030-FNXPPH,79,Unmarried,Female,Asian,Elementary
Deward,0030-FNXPPW,50,Married,Female,Caucasian,Elementary
Loos,0030-FNXPPX,51,Unmarried,Female,African American,Senior Secondary
Carrissa,0030-FNXPPZ,40,Married,Male,Caucasian,Elementary
Kyung Zerby,0031-PVLZI,68,Married,Female,Asian,Master
Samuel,0031-PVLZIA,67,Unmarried,Male,Caucasian,Master
Sun Jackson,0031-PVLZIC,44,Unmarried,Female,African American,Master
Alvin,0031-PVLZICH,42,Unmarried,Female,Caucasian,Master
Kacie,0031-PVLZIH,66,Unmarried,Male,Caucasian,Secondary
Elsworth,0031-PVLZIW,39,Unmarried,Female,Caucasian,Bachelor
Redner,0031-PVLZIX,67,Married,Female,Caucasian,Master
Carrol,0031-PVLZIZ,67,Unmarried,Female,Caucasian,Master
Erich Whitcomb,0032-PGELS,58,Unmarried,Female,African American,Bachelor
Joshua,0032-PGELSA,40,Married,Female,Caucasian,Bachelor
Jenell Jaclyn,0032-PGELSC,74,Married,Female,African American,Senior Secondary
Anice,0032-PGELSCH,80,Unmarried,Male,Caucasian,Bachelor
Kacy,0032-PGELSH,68,Unmarried,Female,Caucasian,Master
Emma,0032-PGELSW,51,Married,Female,African American,Bachelor
Fiedler,0032-PGELSX,44,Married,Female,Asian,Doctorate
Carroll,0032-PGELSZ,55,Married,Male,Caucasian,Master
Leonel Vanduyn,0036-IHMOT,67,Married,Male,Caucasian,Master
Gabriel,0036-IHMOTA,41,Unmarried,Male,Caucasian,Master
Mendy Jacob,0036-IHMOTC,56,Unmarried,Male,Caucasian,Senior Secondary
Avery,0036-IHMOTCH,25,Married,Male,Caucasian,Elementary
Kai,0036-IHMOTH,85,Married,Female,Asian,Senior Secondary
Garner,0036-IHMOTW,38,Unmarried,Female,Caucasian,Senior Secondary
Abell,0036-IHMOTX,53,Unmarried,Male,Caucasian,Master
Carry,0036-IHMOTZ,55,Married,Male,Caucasian,Senior Secondary
Del Guilbert,0040-HALCW,67,Married,Male,Asian,Bachelor
Andrew,0040-HALCWA,45,Unmarried,Female,Caucasian,Senior Secondary
Harriette Jacqueline,0040-HALCWC,38,Unmarried,Male,Caucasian,Bachelor
Basilia,0040-HALCWCH,35,Unmarried,Male,Caucasian,Secondary
Kaia,0040-HALCWH,51,Unmarried,Male,Caucasian,Elementary
Gerhardt,0040-HALCWW,42,Married,Female,Caucasian,Elementary
Resch,0040-HALCWX,62,Married,Female,Asian,Senior Secondary
Cary,0040-HALCWZ,77,Unmarried,Female,Caucasian,Senior Secondary
Kathrine Armbruster,0042-JVWOJ,30,Married,Male,Caucasian,Elementary
John,0042-JVWOJA,46,Married,Male,Caucasian,Secondary
Veola Jacquelyn,0042-JVWOJC,57,Married,Male,Caucasian,Master
Berdena,0042-JVWOJCH,85,Unmarried,Female,Caucasian,Master
Kaila,0042-JVWOJH,32,Married,Female,Asian,Master
Hallie,0042-JVWOJW,54,Unmarried,Male,Caucasian,Master
Pare,0042-JVWOJX,33,Unmarried,Male,Caucasian,Master
Caryl,0042-JVWOJZ,43,Unmarried,Female,Caucasian,Master
Magnolia Hice,0042-RLHYP,47,Unmarried,Female,Caucasian,Elementary
Christopher,0042-RLHYPA,82,Unmarried,Male,African American,Senior High School
Denisha Jada,0042-RLHYPC,52,Unmarried,Female,Caucasian,Senior Secondary
Bernell,0042-RLHYPCH,37,Unmarried,Male,African American,Master
Kaile,0042-RLHYPH,50,Married,Female,Caucasian,Master
Herschell,0042-RLHYPW,38,Unmarried,Male,African American,Senior Secondary
Knipp,0042-RLHYPX,46,Married,Female,African American,Elementary
Caryn,0042-RLHYPZ,84,Married,Female,African American,Elementary
Keena Simpson,0048-LUMLS,34,Married,Female,Caucasian,Doctorate
Oliver,0048-LUMLSA,25,Unmarried,Female,Asian,High School
Corrina Jade,0048-LUMLSC,44,Married,Male,Caucasian,Master
Bettyjo,0048-LUMLSCH,64,Unmarried,Female,Caucasian,Elementary
Kailey,0048-LUMLSH,57,Married,Female,Caucasian,Bachelor
Horacio,0048-LUMLSW,45,Unmarried,Male,Caucasian,Bachelor
Drewry,0048-LUMLSX,80,Married,Female,Caucasian,Bachelor
Casandra,0048-LUMLSZ,57,Married,Male,Caucasian,Senior Secondary
Adaline Dale,0048-PIHNL,46,Married,Male,Caucasian,Master
Dylan,0048-PIHNLA,71,Married,Male,Asian,Master
Cassandra Jaden,0048-PIHNLC,54,Married,Female,Caucasian,Senior High School
Beverlee,0048-PIHNLCH,31,Married,Female,Caucasian,Senior Secondary
Kaitlin,0048-PIHNLH,78,Married,Male,Caucasian,Master
Irven,0048-PIHNLW,53,Unmarried,Male,Asian,Doctorate
Sutherlin,0048-PIHNLX,76,Unmarried,Male,Asian,Senior Secondary
Casey,0048-PIHNLZ,48,Unmarried,Female,African American,Elementary
Sharell Godfrey,0052-DCKON,86,Married,Male,Asian,Senior Secondary
Carter,0052-DCKONA,44,Unmarried,Male,Caucasian,Master
Johnson Jaiden,0052-DCKONC,57,Unmarried,Female,Caucasian,Secondary
Birda,0052-DCKONCH,49,Unmarried,Female,Caucasian,Elementary
Kaitlyn,0052-DCKONH,59,Unmarried,Male,African American,Bachelor
Isidoro,0052-DCKONW,30,Unmarried,Male,African American,Secondary
Seawood,0052-DCKONX,62,Married,Male,African American,Bachelor
Casi,0052-DCKONZ,32,Married,Female,African American,Master
Charlette Constable,0052-YNYOT,40,Unmarried,Male,African American,Secondary
Isaac,0052-YNYOTA,38,Married,Male,Caucasian,Bachelor
Emery Jaime,0052-YNYOTC,25,Married,Female,Asian,Bachelor
Birdell,0052-YNYOTCH,85,Married,Male,Asian,Bachelor
Kaitlynn,0052-YNYOTH,45,Unmarried,Female,Asian,Master
Julious,0052-YNYOTW,25,Unmarried,Male,Caucasian,Master
Sirianni,0052-YNYOTX,74,Married,Female,Caucasian,Master
Casia,0052-YNYOTZ,49,Married,Male,African American,Master
Katherin Kampf,0056-EPFBG,25,Unmarried,Female,Caucasian,Bachelor
Luke,0056-EPFBGA,43,Married,Female,African American,Bachelor
Gaynelle Jaime,0056-EPFBGC,46,Married,Female,Asian,Bachelor
Bobette,0056-EPFBGCH,33,Unmarried,Male,Asian,Master
Kaja,0056-EPFBGH,65,Married,Male,Asian,Bachelor
Kenton,0056-EPFBGW,71,Married,Male,African American,Elementary
Weir,0056-EPFBGX,56,Married,Male,Caucasian,Master
Casie,0056-EPFBGZ,46,Married,Female,Caucasian,Senior Secondary
Kurt Horan,0057-QBUQH,56,Married,Female,Caucasian,Master
Henry,0057-QBUQHA,84,Unmarried,Female,Caucasian,Master
Alysia Jake,0057-QBUQHC,59,Married,Female,Asian,Senior Secondary
Bonny,0057-QBUQHCH,79,Married,Female,African American,Master
Kakalina,0057-QBUQHH,85,Married,Male,Caucasian,Senior Secondary
Lawrance,0057-QBUQHW,40,Unmarried,Female,Caucasian,Bachelor
Bischoff,0057-QBUQHX,32,Unmarried,Male,Asian,Bachelor
Cass,0057-QBUQHZ,47,Unmarried,Male,African American,Senior Secondary
Carlee Crochet,0058-EVZWM,68,Unmarried,Female,African American,Master
Owen,0058-EVZWMA,62,Married,Male,Caucasian,Master
Deeann Jakob,0058-EVZWMC,78,Unmarried,Female,Caucasian,Senior Secondary
Brooksie,0058-EVZWMCH,53,Married,Female,Asian,Master
Kala,0058-EVZWMH,78,Married,Female,Caucasian,Bachelor
Leverne,0058-EVZWMW,77,Unmarried,Female,Caucasian,Bachelor
Casiano,0058-EVZWMX,64,Unmarried,Male,Caucasian,Senior Secondary
Cassandra,0058-EVZWMZ,73,Unmarried,Male,Caucasian,Bachelor
Emogene Dundon,0060-FUALY,78,Unmarried,Female,Asian,Master
Ryan,0060-FUALYA,44,Married,Male,Asian,Senior High School
Lilliam Jalen,0060-FUALYC,59,Married,Female,Caucasian,Master
Calista,0060-FUALYCH,75,Married,Female,Caucasian,Elementary
Kaleena,0060-FUALYH,45,Unmarried,Female,African American,Master
Marcelo,0060-FUALYW,60,Unmarried,Male,African American,Bachelor
Meints,0060-FUALYX,81,Married,Female,African American,Bachelor
Cassandre,0060-FUALYZ,76,Unmarried,Male,Asian,Bachelor
Cory Hartgrove,0064-SUDOG,76,Unmarried,Female,Asian,Senior High School
Nathan,0064-SUDOGA,51,Married,Male,Asian,Secondary
Shara Jamal,0064-SUDOGC,29,Married,Female,Caucasian,Senior High School
Candace,0064-SUDOGCH,70,Unmarried,Male,Caucasian,Master
Kali,0064-SUDOGH,53,Unmarried,Female,African American,Secondary
Masao,0064-SUDOGW,25,Married,Male,African American,Elementary
Sorrels,0064-SUDOGX,43,Married,Male,Caucasian,Master
Cassandry,0064-SUDOGZ,55,Unmarried,Male,African American,Bachelor
Angie Garraway,0064-YIJGF,36,Unmarried,Female,Asian,Senior Secondary
Wyatt,0064-YIJGFA,58,Unmarried,Female,Asian,Master
Lorinda James,0064-YIJGFC,58,Married,Female,Caucasian,Senior Secondary
Cherrie,0064-YIJGFCH,50,Unmarried,Male,Caucasian,Master
Kalie,0064-YIJGFH,50,Unmarried,Female,Asian,Master
Nancy,0064-YIJGFW,83,Married,Female,African American,Master
Helbing,0064-YIJGFX,75,Married,Female,Caucasian,Master
Cassaundra,0064-YIJGFZ,36,Married,Male,Caucasian,Senior Secondary
Kelvin Hooser,0067-DKWBL,84,Married,Male,Asian,Elementary
Caleb,0067-DKWBLA,49,Married,Female,Caucasian,Doctorate
Bonita Jameson,0067-DKWBLC,79,Unmarried,Female,African American,Doctorate
Chloie,0067-DKWBLCH,84,Married,Female,African American,Senior High School
Kalila,0067-DKWBLH,39,Married,Female,African American,Senior Secondary
Orman,0067-DKWBLW,31,Married,Male,Asian,Senior Secondary
Morais,0067-DKWBLX,59,Married,Female,Caucasian,Secondary
Cassey,0067-DKWBLZ,85,Unmarried,Female,Asian,Senior Secondary
Rayna Heindel,0068-FIGTF,80,Married,Female,Caucasian,Bachelor
Sebastian,0068-FIGTFA,36,Married,Male,Caucasian,Elementary
Kendall Jamie,0068-FIGTFC,29,Unmarried,Male,Caucasian,Elementary
Cleopha,0068-FIGTFCH,66,Married,Female,Caucasian,Senior High School
Kalina,0068-FIGTFH,33,Married,Male,Asian,Elementary
Pasqual,0068-FIGTFW,84,Unmarried,Female,Caucasian,Bachelor
Kollar,0068-FIGTFX,51,Married,Male,Caucasian,Doctorate
Cassi,0068-FIGTFZ,76,Married,Male,Caucasian,Senior Secondary
See Lebsock,0071-NDAFP,34,Married,Female,Caucasian,Bachelor
Jack,0071-NDAFPA,38,Married,Male,Asian,Bachelor
Lakenya Jamie,0071-NDAFPC,77,Married,Male,Caucasian,Master
Clorine,0071-NDAFPCH,25,Married,Male,Caucasian,Master
Kalinda,0071-NDAFPH,67,Married,Female,Caucasian,Senior High School
Perley,0071-NDAFPW,30,Unmarried,Female,Caucasian,Senior Secondary
Harsh,0071-NDAFPX,30,Divorced,Male,Caucasian,Bachelor
Cassie,0071-NDAFPZ,30,Unmarried,Female,Caucasian,Master
Cristie Milne,0074-HDKDG,37,Unmarried,Female,African American,Master
Christian,0074-HDKDGA,28,Unmarried,Male,African American,Master
Jammie Jan,0074-HDKDGC,55,Unmarried,Male,African American,High School
Clyda,0074-HDKDGCH,47,Married,Female,Caucasian,Senior High School
Kalindi,0074-HDKDGH,63,Married,Male,Asian,Doctorate
Robbie,0074-HDKDGW,86,Unmarried,Male,Caucasian,Elementary
Mijangos,0074-HDKDGX,44,Unmarried,Male,Caucasian,Elementary
Cassondra,0074-HDKDGZ,81,Unmarried,Male,Caucasian,Senior Secondary
Willetta Rizzo,0076-LVEPS,66,Married,Male,African American,Bachelor
Jonathan,0076-LVEPSA,41,Unmarried,Male,Caucasian,Senior Secondary
Arlean Jana,0076-LVEPSC,62,Unmarried,Male,Caucasian,Master
Consuela,0076-LVEPSCH,60,Unmarried,Male,Asian,Senior Secondary
Kalli,0076-LVEPSH,80,Unmarried,Female,Asian,Master
Rocky,0076-LVEPSW,75,Married,Female,Caucasian,Senior High School
Romaine,0076-LVEPSX,80,Married,Male,Asian,Master
Cassy,0076-LVEPSZ,44,Married,Female,African American,Doctorate
Buster Tietjen,0078-XZMHT,50,Unmarried,Male,African American,Doctorate
Julian,0078-XZMHTA,47,Married,Male,Asian,Bachelor
Boyce Jane,0078-XZMHTC,38,Unmarried,Female,Asian,Bachelor
Courtney,0078-XZMHTCH,72,Married,Male,Caucasian,Bachelor
Kally,0078-XZMHTH,75,Unmarried,Male,Caucasian,Senior Secondary
Romie,0078-XZMHTW,48,Unmarried,Female,Caucasian,Bachelor
Lucca,0078-XZMHTX,77,Married,Male,Caucasian,Master
Cat,0078-XZMHTZ,49,Unmarried,Male,Caucasian,Master
Melissia Mendelsohn,0080-EMYVY,76,Unmarried,Male,Caucasian,Senior Secondary
Landon,0080-EMYVYA,56,Unmarried,Male,Caucasian,Bachelor
Sindy Janelle,0080-EMYVYC,83,Unmarried,Male,Caucasian,Doctorate
Cozetta,0080-EMYVYCH,83,Married,Female,Caucasian,Senior Secondary
Kameko,0080-EMYVYH,64,Married,Male,African American,Master
Rosa,0080-EMYVYW,46,Married,Female,Caucasian,Bachelor
Chadwell,0080-EMYVYX,39,Married,Female,Caucasian,Senior Secondary
Catarina,0080-EMYVYZ,82,Unmarried,Female,Asian,Bachelor
Xavier Ravenscroft,0080-OROZO,42,Unmarried,Male,Caucasian,Master
Levi,0080-OROZOA,35,Unmarried,Male,Caucasian,Senior High School
Louis Janet,0080-OROZOC,86,Married,Male,African American,Master
Dellar,0080-OROZOCH,25,Unmarried,Female,Caucasian,Bachelor
Kamila,0080-OROZOH,65,Married,Male,African American,Senior Secondary
Selwyn,0080-OROZOW,46,Married,Male,Caucasian,Master
Hyppolite,0080-OROZOX,28,Married,Female,Asian,Master
Cate,0080-OROZOZ,67,Unmarried,Female,Caucasian,Master
Eda Ellenwood,0082-LDZUE,55,Unmarried,Male,African American,Secondary
Isaiah,0082-LDZUEA,25,Unmarried,Female,African American,Senior High School
Vita Janette,0082-LDZUEC,39,Married,Male,Caucasian,Senior Secondary
Docia,0082-LDZUECH,85,Unmarried,Male,Asian,Master
Kamilah,0082-LDZUEH,62,Married,Male,Caucasian,Senior Secondary
Shelly,0082-LDZUEW,41,Unmarried,Female,Asian,Elementary
Cottone,0082-LDZUEX,30,Unmarried,Male,Caucasian,Secondary
